#"id","organisation_type","current_org_id_if_defunct","country","admin1","admin2","admin3","country_address","admin1_address","admin2_address","admin3_address","organisation_coverage","organisation_grouping","id_generator","organisation_code","postcode","postcode_first_YN","organisation_defunct_YN","final_year_if_defunct","address_line_0","address_line_1","address_line_2","address_line_3","address_line_4","organisation_initials","organisation_name","organisation_email","organisation_webpage","created","updated","hidden"
"ESFNE00000",NULL,NULL,"ES",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","FNE",NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,"FNE","Federación Nacional de Espeleología",NULL,NULL,"2018-03-21 23:12:30","2019-08-16 13:16:40","0"
"ESGPT00000","381.02",NULL,"ES","ES.31","ES.31.MU","ES.31.MU.30030","ES","ES.31","ES.31.MU","ES.31.MU.30030","393.04","394.2","1","GPT",NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,"GPT","Grupo de Espeleología Proteus",NULL,NULL,"2017-12-08 18:23:11","2022-12-11 10:43:25","0"
"ESGPT00001",NULL,NULL,"ES","ES.31","ES.31.MU","ES.31.MU.30016","ES","ES.31","ES.31.MU","ES.31.MU.30016",NULL,NULL,"1","CEC",NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Centro Excursionista de Cartagena","cexcartagena@gmail.com","cexcartagena.wordpress.com","2019-07-26 22:15:02","2019-08-28 22:27:59","0"
"ESGPT00002",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","CUM",NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Club Universitario de Montaña","cumm@cumm.info","www.cumm.es","2019-07-26 22:15:02","2018-03-22 22:21:45","0"
"ESGPT00003",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Grupo Hinneni","info@grupohinneni.es","www.grupohinneni.es","2019-07-26 22:15:02","2019-07-26 22:15:02","0"
"ESGPT00004",NULL,NULL,"ES","ES.31","ES.31.MU","ES.31.MU.30043",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Centro Excursionista de Yecla","centroyecla@hotmail.com","www.centroexcursionistayecla.es","2019-07-26 22:15:02","2017-12-17 01:36:39","0"
"ESGPT00005",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,"ADENOW","Asociación deportiva ADENOW","adenow@hotmail.com","adenow.blogspot.com.es","2019-07-26 22:15:02","2022-12-11 11:25:16","0"
"ESGPT00006",NULL,NULL,"ES","ES.31","ES.31.MU","ES.31.MU.30030",NULL,NULL,NULL,NULL,NULL,NULL,"0","VTG",NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Grupo Vértigo","club@grupovertigo.es","www.grupovertigo.es","2019-07-26 22:15:02","2018-03-22 22:22:27","0"
"ESGPT00007",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Centro de Estudios de la Naturaleza y el Mar","cenm@cenm.es","www.cenm.es","2019-07-26 22:15:02","2019-07-26 22:15:02","0"
"ESGPT00008",NULL,NULL,"ES","ES.31","ES.31.MU","ES.31.MU.30024",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Grupo Espeleológico de Lorca","grupoespeleolorca@hotmail.com","www.grupoespeleolorca.com","2019-07-26 22:15:02","2017-12-17 02:07:04","0"
